1870	1.4342248950	2.0917448980
1871	1.4720701380	2.2467973060
1872	1.4269080440	2.0257445450
1873	1.4492341610	1.3604029470
1874	1.3979172010	0.9671342850
1875	1.4636554820	1.1759734100
1876	1.3514421500	1.8859843010
1877	1.1652864220	1.8667324050
1878	1.2310014770	1.3096446040
1879	1.2419579180	0.9958248480
1880	1.3777594590	0.9794118180
1881	1.2740651810	0.9173902370
1882	1.2267953720	0.7030663430
1883	1.2137425960	1.1175987350
1884	1.1138274540	0.9274978760
1885	1.4660037910	1.0528166370
1886	1.4219215390	0.8829250380
1887	1.3859610830	0.8611492180
1888	1.2873544130	1.0642108620
1889	1.3474233590	1.1902377760
1890	1.3349101620	1.1003379150
1891	1.3401049790	0.8443172320
1892	1.4083540790	0.7332254040
1893	1.3862943610	0.8905066150
1894	1.3983669420	1.1752233910
1895	1.3783261910	1.5853403610
1896	1.3259312110	1.5266019070
1897	1.3217558400	1.1526795100
1898	1.2809338450	1.2919836820
1899	1.3130438990	1.5676861180
1900	1.4236501480	1.5561393310
1901	1.4375876560	1.3862943610
1902	1.4530918420	1.2769052740
1903	1.5173797680	1.3960189110
1904	1.3599770530	1.3431699340
1905	1.3535045380	1.0658224660
1906	1.3217558400	0.9769153540
1907	1.3530083830	0.9162907320
1908	1.3893760280	0.9162907320
1909	1.2350049140	0.7782465110
1910	1.1015731890	0.6101238450
1911	1.2759463040	0.7079622660
1912	1.2951888130	0.8703056190
1913	1.2840155120	1.1614131900
1914	1.3064883680	1.0239213960
1915	1.2895865570	0.7914999590
1916	1.2241755120	1.1693672750
1917	1.4171660250	1.2284239000
1918	1.4562729400	1.3623411200
1919	1.3664917340	1.3629139120
1920	1.6632406180	1.6867711160
1921	1.8503159190	1.4801576240
1922	1.9189246150	1.4370865280
1923	1.7544636840	1.1746451890
1924	1.5994875820	1.2765236950
1925	1.4621429780	1.4131353990
1926	1.4945576360	1.5412752610
1927	1.4957034650	1.2495703960
1928	1.4350845250	1.2119409740
1929	1.4044583320	1.2879245150
1930	1.4492902130	1.2898624760
1931	1.5087943870	0.9055954430
1932	1.4961092270	1.2476478680
1933	1.4842747690	0.9954280520
1934	1.6450650900	1.2594026090
1935	1.5774548670	1.1543348230
1936	1.5678162380	1.2462326140
1937	1.5981383570	1.2671058440
1938	1.6923255720	1.2959103000
1939	1.6632406180	1.1989350100
1940	1.6458055570	1.1814999480
1941	1.7125786710	1.1883300270
1942	1.6308187070	1.1005749980
1943	1.7278461430	1.0610162710
1944	1.8175435860	1.0683069390
1945	1.8289117350	1.0625611500
1946	1.8082098270	1.0720452610
1947	1.8154419540	1.1841701770
1948	1.9115087220	1.4095720460
1949	1.9442751230	1.4334494990
1950	1.8872918960	1.3978411320
1951	1.7979604740	1.0214316840
1952	1.8257864210	1.3270091350
1953	1.8394229960	1.4016225070
1954	1.7616297280	1.4353019400
1955	1.7787673110	1.4303003470
1956	1.8203794270	1.4086447050
1957	1.8098162530	1.4778950480
1958	1.7419116640	1.4418070710
1959	1.7211075970	1.4118099340
1960	1.7200533010	1.4030136640
1961	1.6858108910	1.4098248590
1962	1.6628386890	1.4118099340
1963	1.6458055570	1.4124055050
1964	1.6638940980	1.4077106930
1965	1.6440293570	1.3826645930
1966	1.6312425420	1.3578371560
1967	1.6486586260	1.3609765530
1968	1.6239660130	1.3439468130
1969	1.6597917990	1.3601335350
1970	1.8469702010	1.3573467850
1971	1.9358344970	1.3862943610
1972	1.9769689130	1.3447199150
1973	1.9638832010	1.3848084770
1974	2.2862119310	1.7375360830
1975	2.3974273640	1.7639315870
1976	2.3625022970	1.7987025230
1977	2.3229731590	1.7846539550
1978	2.3423936740	1.7587307260
1979	2.3000351550	1.9800057150
1980	2.2103569230	2.3832026490
1981	2.1926856360	2.6821240380
1982	2.2042981730	2.5539997070
1983	2.1426924330	2.4558640830
1984	2.1060246110	2.4205291410
1985	2.0946643930	2.3536979560
1986	2.0667627640	1.7279206330
1987	2.0111816920	1.9108087180
1988	1.9276104330	1.5946640640
1989	1.8684598830	1.7795121400
1990	1.8300512730	1.9630005640
1991	1.8162814670	1.8306876870
1992	1.7881530160	1.7669585910
1993	1.7153600370	1.6533319540
1994	1.6803429100	1.5762230830
1995	1.6269857150	1.6035899460
1996	1.5878369843	1.8130328104
1997	1.5673387059	1.7448620240
1998	1.6020280157	1.3096148652
1999	1.5542771087	1.6595081045
2000	1.5080613769	2.1444317517
2001	1.5457098432	1.9315222707
2002	1.6156903072	1.9851096085
2003	1.5696764079	2.1354977301
2004	1.6431702173	2.3634029545
2005	1.7585754474	2.6059273921
2006	1.7323498651	2.7319816631	
