
Date    RET1      RET2      RET3      RET4      RET5      RET6      RET7      RET8      RET9      RET10      RET11    RET12     RET13      RET14     RET15    RET16      RET17    RET18     RET19      RET20    RET21      RET22     RET23     RET24     RET25     market    SMB      HML       TERM      DEF         MOM
196106 -0.059200 -0.055900 -0.042100 -0.061000 -0.065800 -0.077200 -0.034200 -0.037500 -0.057200 -0.053300 -0.049300 -0.053300 -0.035800 -0.054000 -0.045500 -0.049400 -0.036800 -0.031900 -0.002000 -0.047400 -0.015800 -0.044800 -0.029700 -0.043000 -0.032300 -0.030500 -0.024500 -0.002600 -0.009500 -0.010000  0.002400
196107  0.023000 -0.001700 -0.028000  0.019300 -0.010600 -0.001600 -0.015300  0.002300  0.009400  0.011500 -0.003000  0.009600  0.016900  0.011400  0.018300  0.006100  0.027600  0.022800  0.016000 -0.004300  0.017000  0.049800  0.039700  0.009400  0.026500  0.028900 -0.016500 -0.007800  0.001700  0.002200  0.002900
196108  0.026000  0.009000 -0.003600 -0.010400  0.019000  0.032700  0.002600 -0.002300  0.015400  0.017900 -0.003100  0.011800  0.001000  0.016800  0.007500  0.046800  0.040700  0.038000  0.012200  0.021100  0.039900  0.019000  0.005200  0.012000  0.038400  0.025700 -0.015900 -0.004400 -0.005200 -0.003200  0.015400
196109 -0.047400 -0.061900 -0.032300 -0.028700 -0.039700 -0.051500 -0.051900 -0.035600 -0.036900 -0.015400 -0.037900  0.000000 -0.028600 -0.030300 -0.045700 -0.023700 -0.025900 -0.025800 -0.044100 -0.038700 -0.008400 -0.021000 -0.037500 -0.049100 -0.004700 -0.020400 -0.011100 -0.009300  0.011200  0.012700  0.007600
196110  0.030700  0.065800  0.030100  0.017900  0.010600 -0.021200  0.021600  0.023800  0.010000  0.004300  0.018800  0.034800  0.022800  0.025500 -0.015300  0.027400  0.027700  0.048700 -0.017600  0.014800  0.031600  0.012300  0.039900  0.057900  0.004700  0.025200 -0.018500  0.005400  0.005200  0.010800  0.031500
196111  0.061100  0.047900  0.069000  0.060800  0.044500  0.036400  0.084300  0.040900  0.055800  0.057800  0.082900  0.047200  0.039300  0.044300  0.017000  0.047300  0.027900  0.044300  0.030400  0.034800  0.031800  0.066600  0.037000  0.031100  0.038500  0.044600  0.011700 -0.013300 -0.003500  0.001300  0.011400
196112 -0.033100  0.038400 -0.015700  0.008900  0.002900 -0.046700 -0.003200 -0.002500  0.019200 -0.018900 -0.017500 -0.025100 -0.001700  0.013500  0.012100 -0.039600 -0.022200 -0.001200  0.015100 -0.013400 -0.015100  0.008300  0.023200  0.026000 -0.001800 -0.001200 -0.013300  0.026200 -0.014400 -0.004500 -0.021700
196201  0.038200 -0.036900  0.016800  0.014200  0.028000 -0.035300 -0.010800 -0.003900 -0.001100  0.032100 -0.051600 -0.017300 -0.024000 -0.028300  0.014400 -0.056500 -0.026900 -0.025100  0.011900  0.033100 -0.062200 -0.040100 -0.011600 -0.004800 -0.003600 -0.038700  0.016200  0.054300 -0.003800  0.005600 -0.020900
196202 -0.005500 -0.013400  0.024900  0.013600  0.019100  0.012500  0.011900 -0.004000  0.017800  0.015700  0.027400 -0.003100  0.007300  0.013900  0.015400  0.012500  0.010000  0.027300  0.003800  0.004600  0.014000  0.019600  0.028300  0.029600  0.016100  0.017000 -0.012200  0.012000  0.008300  0.003200 -0.010100
196203 -0.008300  0.016600  0.014800  0.007100 -0.003600 -0.000900  0.002900 -0.004700 -0.015100 -0.013700  0.000000  0.004100 -0.008500 -0.021300 -0.009500 -0.016800 -0.007200 -0.011200 -0.002400 -0.024900  0.000500 -0.010100 -0.007000 -0.013900 -0.035500 -0.007700  0.003200 -0.008400  0.023300  0.013100  0.020000
196204 -0.067600 -0.079200 -0.073300 -0.081600 -0.066900 -0.080400 -0.071700 -0.083700 -0.068300 -0.064800 -0.064800 -0.039600 -0.073800 -0.068600 -0.064200 -0.069600 -0.065600 -0.071000 -0.076200 -0.059000 -0.081600 -0.052300 -0.055700 -0.058500 -0.059000 -0.064900 -0.010100  0.002200  0.006000  0.012000  0.028800
196205 -0.121700 -0.113600 -0.116600 -0.075800 -0.107000 -0.121600 -0.114800 -0.092200 -0.091500 -0.112100 -0.133000 -0.101400 -0.113200 -0.103000 -0.090100 -0.133700 -0.097400 -0.081400 -0.057500 -0.073700 -0.102800 -0.074900 -0.052700 -0.059100 -0.059200 -0.086900 -0.028700  0.024500  0.002200 -0.002400  0.004500
196206  0.019100 -0.068500 -0.085000 -0.075200 -0.074600 -0.125900 -0.093000 -0.074600 -0.056000 -0.077000 -0.090500 -0.075800 -0.094900 -0.063100 -0.072800 -0.106900 -0.093200 -0.064100 -0.091200 -0.079400 -0.109000 -0.073500 -0.062900 -0.056400 -0.070500 -0.084700 -0.007600  0.030600 -0.009600 -0.004600  0.064000
196207  0.081900  0.096200  0.083000  0.054300  0.071000  0.065600  0.061700  0.069500  0.051200  0.078800  0.096700  0.035000  0.040000  0.035800  0.067200  0.074400  0.059900  0.045500  0.045600  0.042400  0.083200  0.063500  0.045500  0.017500  0.025400  0.063400  0.014800 -0.038200 -0.013600 -0.004200  0.007300
